sound,speaker,audience,MEAN_MELODIC,MEAN_RHYTHMIC,MEAN_PLEASANT,MEAN_MUSICAL,Language,Sex,Audience,Text,Syllables.A,Syllables.M,Length,Tempo,F0_mean,F0_stdev,F0_min,F0_max,F0_stability,Spectral_Centroid,Spectral_Bandwidth,Spectral.Contrast,Spectral.Flatness,Spectral.Rolloff,Chroma_C,Chroma_Cs,Chroma_D,Chroma_Ds,Chroma_E,Chroma_F,Chroma_Fs,Chroma_G,Chroma_Gs,Chroma_A,Chroma_As,Chroma_B,Chroma_whitekey,MFCC_01_mean,MFCC_02_mean,MFCC_03_mean,MFCC_04_mean,MFCC_05_mean,MFCC_06_mean,MFCC_07_mean,MFCC_08_mean,MFCC_09_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_01_stdev,MFCC_02_stdev,MFCC_03_stdev,MFCC_04_stdev,MFCC_05_stdev,MFCC_06_stdev,MFCC_07_stdev,MFCC_08_stdev,MFCC_09_stdev,MFCC_10_stdev,MFCC_11_stdev,MFCC_12_stdev,MFCC_13_stdev,Speaking_Rate,Talker_ID
a_m_rus_01-01-202.wav,male,adult,2.6,2.8,2.6,2.7,Russian,Male,Adult, Зачем ты едешь? Искать счастье?,9,11,2.5257,123.0469,183.7011,44.2159,106.2045,310.985,-16.6506,2825.1473,2312.7845,24.6654,0.017,5096.6524,0.1988,0.1929,0.3052,0.1988,0.4118,0.3622,0.3415,0.3707,0.3562,0.2842,0.2609,0.27,0.3147,-340.3516,41.2816,2.3078,33.2847,20.6856,12.6348,-32.2279,-2.4703,-18.9699,-1.0348,-16.7656,-4.6115,-21.5461,83.0191,68.7756,36.9438,23.8358,22.7438,17.1131,15.6463,13.1169,11.9215,10.1858,16.1197,9.9776,8.7737,3.959298412,T6
a_m_rus_01-01-203.wav,male,adult,1.8,1.8,2,1.8,Russian,Male,Adult, Да разве тебе здесь не хорошо?,11,10,1.6838,107.666,194.9733,20.913,147.6156,255.5334,-13.5291,2552.8447,2349.9497,26.1929,0.0101,4789.3678,0.0778,0.0765,0.0907,0.0778,0.2613,0.3576,0.4266,0.5143,0.5813,0.4395,0.2647,0.1109,0.2646,-322.556,64.5101,16.1055,25.7907,17.8786,18.2227,-28.9011,2.2309,-21.6858,-7.7957,-19.5066,-3.2738,-21.852,73.0261,68.1754,38.4235,27.9018,19.6409,22.6709,14.0412,12.9681,14.3735,11.3366,11.6813,9.9686,9.6914,6.235894999,T6
a_m_rus_01-01-206.wav,male,adult,2.2,2.2,2.4,2.2,Russian,Male,Adult, Но погляди вокруг себя.,8,8,1.5936,123.0469,159.4604,15.7136,120.5957,194.7799,-7.6628,1809.5987,2086.4887,24.6409,0.0087,3341.5474,0.1659,0.2095,0.3506,0.1659,0.4703,0.5213,0.3308,0.108,0.0573,0.0891,0.1379,0.1307,0.2622,-358.2455,88.2544,20.0879,28.109,21.5462,21.8844,-14.8868,0.4836,-13.3279,-5.8332,-14.0514,-3.1828,-16.3883,63.3421,63.3997,21.673,27.8554,20.0846,11.0224,16.5985,13.4226,12.3341,11.1945,14.7152,11.8121,10.6648,5.020080321,T6
a_m_rus_01-01-207.wav,male,adult,3.25,3,3,3.125,Russian,Male,Adult, Все смотрят тебе в глаза.,9,6,1.5936,172.2656,180.6404,24.5832,152.8212,238.4211,-10.2805,2630.9433,2269.6052,24.8096,0.0182,4487.9564,0.0987,0.1141,0.1976,0.0987,0.4984,0.4517,0.3304,0.2984,0.263,0.2738,0.2278,0.2194,0.2912,-330.8034,65.4071,26.6294,22.3508,1.6091,22.549,-19.329,1.6028,-17.8819,-7.5491,-10.3697,1.6106,-23.2525,70.1581,67.1396,22.356,23.9345,24.04,19.199,15.3874,14.3118,11.897,14.1456,11.1916,11.3834,10.5213,4.706325301,T6
a_m_rus_01-01-208.wav,male,adult,2.4,2.4,2.6,2.4,Russian,Male,Adult," А дочка Марии Карповны, Сонюшка,",12,10,1.9945,112.3471,192.4079,28.2384,143.4132,254.0616,-9.7773,1845.0499,2030.13,24.9908,0.0099,3350.4162,0.1366,0.1223,0.1623,0.1366,0.3917,0.4722,0.4118,0.2998,0.3186,0.3119,0.3048,0.2382,0.2875,-324.6046,92.8139,8.6515,13.4836,10.0508,19.4161,-18.0173,-2.2764,-21.6325,-8.1288,-17.818,-2.2621,-16.0924,70.0484,58.8036,27.1193,27.4102,23.3368,15.9857,12.5196,14.309,12.9491,13.6444,12.3938,11.3864,8.539,5.515166708,T6
a_m_rus_01-01-211.wav,male,adult,2,1.8,1.8,1.9,Russian,Male,Adult," Как она, моя голубушка!",9,7,1.4032,117.4538,171.1259,17.7503,130,206.3621,-6.1707,1860.3539,2148.0875,26.1776,0.0081,3614.7541,0.1053,0.0859,0.1257,0.1053,0.4789,0.471,0.3634,0.4425,0.3921,0.172,0.1664,0.1697,0.2807,-293.0508,95.2169,-12.8899,6.5621,6.9084,19.6598,-24.4092,-4.5816,-20.4831,4.8633,-13.1475,-4.0858,-16.1925,63.6507,43.7413,31.4585,18.1628,17.4933,10.3239,11.0283,12.8341,11.6922,13.1949,10.5926,13.3515,6.3815,5.701254276,T6
a_m_rus_01-01-212.wav,male,adult,2.2,2.6,2.8,2.4,Russian,Male,Adult, Дай Бог ей здоровья.,7,6,1.333,123.0469,174.7152,33.2184,111.8717,243.9939,-10.9905,1614.645,2204.9394,25.4774,0.0022,3575.9968,0.172,0.1391,0.2283,0.172,0.3608,0.2475,0.1934,0.2363,0.3514,0.3693,0.3428,0.2263,0.2629,-356.0199,98.6207,30.0174,24.7853,14.6399,15.9492,-27.0686,4.1681,-15.8188,-3.8958,-17.9784,-5.8974,-18.6295,88.686,40.3974,26.5073,23.672,25.6719,16.4638,19.9888,10.6958,12.2119,8.3231,13.9933,10.2539,13.3188,4.876219055,T6
a_m_rus_01-01-214.wav,male,adult,3,3,3.2,3,Russian,Male,Adult," Слышь, третью ночь не спит.",7,6,2.1549,99.384,196.2952,29.4039,118.5239,254.0616,-11.571,3137.5164,2455.4627,24.563,0.0304,5704.3307,0.2053,0.1802,0.2723,0.2053,0.3633,0.3253,0.375,0.5031,0.5532,0.3829,0.2961,0.2733,0.3322,-379.3926,34.4631,11.2,31.2019,15.7196,22.2664,-22.0795,1.0759,-16.6111,-5.2813,-14.321,-0.8826,-22.3262,79.5477,57.2174,29.6956,26.6804,20.2563,13.5917,16.9688,14.1339,12.3688,15.4004,13.6243,8.9168,10.3189,3.016381271,T6
a_m_rus_01-01-215.wav,male,adult,2.2,2.6,3.2,2.4,Russian,Male,Adult," Вот, маменька, что вы, она так...",9,8,3.1471,143.5547,140.0823,44.4662,75.0979,208.7599,-11.6708,2448.2646,2422.2369,23.7597,0.0259,4889.3829,0.3216,0.2565,0.3154,0.3216,0.4581,0.4489,0.429,0.4585,0.515,0.4574,0.4261,0.3936,0.4077,-347.1659,83.6441,3.6755,2.2987,7.7584,11.0354,-16.5219,1.9682,-13.032,1.2705,-5.7038,3.9945,-7.5512,108.2624,57.3651,37.2942,21.3591,26.6092,19.233,13.4404,16.4228,11.4083,12.2785,9.9171,10.2363,10.1813,2.700899241,T6
a_m_rus_01-01-216.wav,male,adult,3.25,3,3,3.125,Russian,Male,Adult," Да-да, будто я не вижу.",8,7,1.8442,95.7031,205.4555,36.6947,119.2105,269.1689,-13.0354,1931.5277,2394.64,25.9871,0.0052,4295.7394,0.2526,0.1655,0.1243,0.2526,0.2185,0.2347,0.2622,0.3318,0.4443,0.4886,0.3537,0.2595,0.2728,-336.2579,84.0262,15.3116,15.7106,6.0401,22.0877,-22.8938,2.7877,-13.9656,-11.2141,-11.494,-1.5172,-25.802,97.1067,41.6726,25.7676,32.6466,20.5177,15.2423,24.6666,13.5454,10.9107,14.0321,16.2965,8.1144,11.4181,4.066804034,T6
